  Dealer Name,,App In,Approve,Reject,Cancel,Waiting
Rachanon Charoenyon,,1,1,0,0,0
Ratanayon 888,,13,9,1,2,1
S P MotorSale,,2,0,2,0,0
S R,,7,6,0,1,0
S.A,,2,1,1,0,0
S.A. Motorcycle,,19,15,3,1,0
S.A. Motorcycle,,30,24,4,0,2
Saeng Aree K T V Motor,,5,4,1,0,0
Sahawat Motor,,4,2,1,1,0
Sahawat Motor,,1,0,1,0,0
Sahawat Motor,,6,6,0,0,0
Sahchon Motor,,37,27,7,0,3
Saimai MotorBike ,,2,2,0,0,0
Saimai MotorBike ,,7,3,4,0,0
Saimai MotorBike ,,12,6,5,0,1
Saimai MotorBike ,,3,3,0,0,0
SamChuk Watthanayon,,9,8,1,0,0
Sanamotorcycle,,1,1,0,0,0
Siamyon Modern Bike,,3,0,3,0,0
Sing Chai Siam Yon,,40,27,7,2,4
Sing Chai Siam Yon,,5,3,2,0,0
Sing Chai Siam Yon,,4,3,1,0,0
Sing Chai Siam Yon,,8,8,0,0,0
Sing Chai Siam Yon,,12,10,1,1,0
Somjai motor,,3,2,1,0,0
Sompoch Motor,,5,2,3,0,0
Sompoch Rider,,7,4,2,0,1
SompochKah Yanyon,,6,6,0,0,0
Sompong Charoen Yanyon,,3,3,0,0,0
Sompong Charoen Yanyon,,12,9,3,0,0
Sompong Charoen Yanyon,,28,21,6,1,0
Songpeenong,,8,4,2,0,2
Sor. Center Ladlumkaew,,12,10,2,0,0
Sor. Center MotorSale,,1,1,0,0,0
Sor. Ekachai Charoenyon,,2,1,1,0,0
Sor. Sahasap Charoenyon,,10,6,3,0,1
Sor. Yanyon Buriram1994,,2,2,0,0,0
Sriracha AutoHouse,,1,1,0,0,0
Srisomboon,,2,0,2,0,0
Subpermpoon Motor,,10,6,4,0,0
Sup Charoenyon,,21,15,5,1,0
Supamit1993,,8,5,3,0,0
Suriya Charoenyon Juped,,35,17,16,2,0
Suriya Charoenyon Juped,,3,2,1,0,0
Suriya Charoenyon Juped,,8,4,3,1,0
Suriya Charoenyon Juped,,6,2,1,3,0
Suriya Charoenyon Juped,,3,1,2,0,0
Suthiyon ,,7,5,2,0,0
Suthiyon ,,13,10,2,1,0
Suthiyon Bangkhla,,1,1,0,0,0
T.M. RungRuengYon,,16,9,5,2,0
T.M. RungRuengYon,,14,9,4,1,0
TAWAN INTER BIKE,,35,21,10,1,3
Thanasup,,5,2,3,0,0
Thaweesukjinda,,11,7,3,0,1
Thepsiri Motor,,26,22,4,0,0
Thepsiri Motor,,7,7,0,0,0
Thepsiri Motor,,4,3,1,0,0
Thepsiri Motor,,7,5,1,1,0
Thepsiri Motor,,8,4,4,0,0
Thepsiri Motor,,4,3,1,0,0
Thepsiri Motor,,1,0,1,0,0
Thepsiri Motor,,2,1,1,0,0
Thepsiri Motor,,2,2,0,0,0
Thepsiri Motor,,10,7,3,0,0
Thepsiri Motor,,1,1,0,0,0
Thepsiri Motor,,13,11,1,0,1
Thepsiri Motor,,3,2,0,1,0
Thepsiri Motor,,22,19,2,1,0
Thepsiri Motor,,6,5,1,0,0
Thepsiri Motor,,14,7,6,0,1
Thongthae Charoenyon,,4,1,2,0,1
Thongthae Charoenyon,,17,12,2,2,1
Thongthae Charoenyon,,28,18,9,1,0
Thongthae Charoenyon,,3,2,0,1,0
Thongthae Charoenyon,,16,12,2,1,1
Thongthae Charoenyon,,21,19,1,1,0
Thongthae Charoenyon,,1,0,1,0,0
Thongthae Charoenyon,,30,26,2,1,1
Thongthae Charoenyon,,2,2,0,0,0
V. Visawa International,,13,11,2,0,0
Visawa Center Group,,3,1,1,1,0
Visawa Center Group,,6,4,2,0,0
Vor. WaenSpeed,,10,3,7,0,0
Watchara,,4,2,1,1,0
Watchara Center Group,,23,19,3,1,0
Wattana Honda,,31,24,7,0,0
Wattana Honda,,2,1,1,0,0
WATTANA YANYON,,3,1,2,0,0
WinWin Motor Service,,10,7,2,0,1
Wisawa Ruamtun Jaroensuk,,2,0,2,0,0
Yamaha Plubpla Chanthaburi (Klung),,5,3,2,0,0
Yamaha Plubpla Chanthaburi (Klung),,4,4,0,0,0
Yamaha Plubpla Chanthaburi (Klung),,1,1,0,0,0
Yanyong Motorworld,,6,3,2,1,0
Dealer => 247 Dealer,,2887,1907,752,110,118
,,,,,,
Report run :  21/06/2019 16:43:15 ,,Page 1 / 1,,,,
